requisicoes,modo,threads,rep,tempo_resposta_ms,tempo_processamento_ms,assinatura,igual_sequencial,atendiveis,distancia_media_km
100000,sequencial,1,1,484.92,466.27,2cd1a664086ff360,True,87838,114.663
100000,plataforma,2,1,269.48,251.66,2cd1a664086ff360,True,87838,114.663
100000,plataforma,4,1,196.61,171.52,2cd1a664086ff360,True,87838,114.663
100000,plataforma,8,1,111.2,108.05,2cd1a664086ff360,True,87838,114.663
100000,virtual,2,1,257.05,242.29,2cd1a664086ff360,True,87838,114.663
100000,virtual,4,1,187.32,164.14,2cd1a664086ff360,True,87838,114.663
100000,virtual,8,1,177.33,154.74,2cd1a664086ff360,True,87838,114.663
100000,sequencial,1,2,483.35,467.21,2cd1a664086ff360,True,87838,114.663
100000,plataforma,2,2,262.16,247.04,2cd1a664086ff360,True,87838,114.663
100000,plataforma,4,2,200.69,180.46,2cd1a664086ff360,True,87838,114.663
100000,plataforma,8,2,123.56,103.48,2cd1a664086ff360,True,87838,114.663
100000,virtual,2,2,279.92,258.85,2cd1a664086ff360,True,87838,114.663
100000,virtual,4,2,189.82,167.79,2cd1a664086ff360,True,87838,114.663
100000,virtual,8,2,120.85,101.26,2cd1a664086ff360,True,87838,114.663
100000,sequencial,1,3,474.82,451.63,2cd1a664086ff360,True,87838,114.663
100000,plataforma,2,3,261.78,245.22,2cd1a664086ff360,True,87838,114.663
100000,plataforma,4,3,191.01,171.3,2cd1a664086ff360,True,87838,114.663
100000,plataforma,8,3,137.64,122.84,2cd1a664086ff360,True,87838,114.663
100000,virtual,2,3,256.22,240.49,2cd1a664086ff360,True,87838,114.663
100000,virtual,4,3,177.66,174.34,2cd1a664086ff360,True,87838,114.663
100000,virtual,8,3,123.08,101.46,2cd1a664086ff360,True,87838,114.663
1000000,sequencial,1,1,12143.29,12121.08,ceb897ec364928d8,True,879038,114.416
1000000,plataforma,2,1,9264.9,9258.64,ceb897ec364928d8,True,879038,114.416
1000000,plataforma,4,1,4089.7,4084.01,ceb897ec364928d8,True,879038,114.416
1000000,plataforma,8,1,2326.94,2321.3,ceb897ec364928d8,True,879038,114.416
1000000,virtual,2,1,7344.29,7338.93,ceb897ec364928d8,True,879038,114.416
1000000,virtual,4,1,3583.69,3578.09,ceb897ec364928d8,True,879038,114.416
1000000,virtual,8,1,1853.99,1838.53,ceb897ec364928d8,True,879038,114.416
1000000,sequencial,1,2,13605.35,13575.12,ceb897ec364928d8,True,879038,114.416
1000000,plataforma,2,2,7420.92,7393.76,ceb897ec364928d8,True,879038,114.416
1000000,plataforma,4,2,3222.4,3205.81,ceb897ec364928d8,True,879038,114.416
1000000,plataforma,8,2,1163.02,1136.33,ceb897ec364928d8,True,879038,114.416
1000000,virtual,2,2,3340.85,3326.96,ceb897ec364928d8,True,879038,114.416
1000000,virtual,4,2,2504.13,2499.9,ceb897ec364928d8,True,879038,114.416
1000000,virtual,8,2,1795.61,1778.64,ceb897ec364928d8,True,879038,114.416
1000000,sequencial,1,3,5216.92,5203.41,ceb897ec364928d8,True,879038,114.416
1000000,plataforma,2,3,3312.72,3297.38,ceb897ec364928d8,True,879038,114.416
1000000,plataforma,4,3,2398.31,2379.19,ceb897ec364928d8,True,879038,114.416
1000000,plataforma,8,3,1806.51,1802.25,ceb897ec364928d8,True,879038,114.416
1000000,virtual,2,3,3428.75,3401.93,ceb897ec364928d8,True,879038,114.416
1000000,virtual,4,3,2481.65,2456.06,ceb897ec364928d8,True,879038,114.416
1000000,virtual,8,3,1840.87,1811.54,ceb897ec364928d8,True,879038,114.416
