requisicoes,modo,threads,tempo_resposta_mediana_ms,tempo_processamento_mediana_ms,speedup,eficiencia
100000,sequencial,1,483.4,466.3,1.0,1.0
100000,plataforma,2,262.2,247.0,1.84,0.92
100000,plataforma,4,196.6,171.5,2.46,0.61
100000,plataforma,8,123.6,108.0,3.91,0.49
100000,virtual,2,257.1,242.3,1.88,0.94
100000,virtual,4,187.3,167.8,2.58,0.65
100000,virtual,8,123.1,101.5,3.93,0.49
1000000,sequencial,1,12143.3,12121.1,1.0,1.0
1000000,plataforma,2,7420.9,7393.8,1.64,0.82
1000000,plataforma,4,3222.4,3205.8,3.77,0.94
1000000,plataforma,8,1806.5,1802.2,6.72,0.84
1000000,virtual,2,3428.8,3401.9,3.54,1.77
1000000,virtual,4,2504.1,2499.9,4.85,1.21
1000000,virtual,8,1840.9,1811.5,6.6,0.82
